uid,time,region,Latitude,Longitude
1,1,8,37.72281391,-122.4347971
1,2,8,37.72281391,-122.4347971
1,3,1,37.52481993,-122.4052943
1,4,8,37.72281391,-122.4347971
1,5,8,37.72281391,-122.4347971
1,6,8,37.72281391,-122.4347971
1,7,8,37.72281391,-122.4347971
1,8,8,37.72281391,-122.4347971
1,9,8,37.72281391,-122.4347971
1,10,8,37.72281391,-122.4347971
1,11,8,37.72281391,-122.4347971
1,12,8,37.72281391,-122.4347971
1,13,8,37.72281391,-122.4347971
1,14,8,37.72281391,-122.4347971
1,15,8,37.72281391,-122.4347971
1,16,8,37.72281391,-122.4347971
1,17,8,37.72281391,-122.4347971
1,18,8,37.72281391,-122.4347971
1,19,8,37.72281391,-122.4347971
1,20,8,37.72281391,-122.4347971
1,21,8,37.72281391,-122.4347971
1,22,8,37.72281391,-122.4347971
1,23,8,37.72281391,-122.4347971
1,24,8,37.72281391,-122.4347971
2,1,8,37.72281391,-122.4347971
2,2,8,37.72281391,-122.4347971
2,3,8,37.72281391,-122.4347971
2,4,8,37.72281391,-122.4347971
2,5,8,37.72281391,-122.4347971
2,6,8,37.72281391,-122.4347971
2,7,8,37.72281391,-122.4347971
2,8,8,37.72281391,-122.4347971
2,9,8,37.72281391,-122.4347971
2,10,8,37.72281391,-122.4347971
2,11,8,37.72281391,-122.4347971
2,12,8,37.72281391,-122.4347971
2,13,8,37.72281391,-122.4347971
2,14,8,37.72281391,-122.4347971
2,15,8,37.72281391,-122.4347971
2,16,8,37.72281391,-122.4347971
2,17,8,37.72281391,-122.4347971
2,18,8,37.72281391,-122.4347971
2,19,8,37.72281391,-122.4347971
2,20,8,37.72281391,-122.4347971
2,21,8,37.72281391,-122.4347971
2,22,8,37.72281391,-122.4347971
2,23,8,37.72281391,-122.4347971
2,24,8,37.72281391,-122.4347971
3,1,8,37.72281391,-122.4347971
3,2,8,37.72281391,-122.4347971
3,3,8,37.72281391,-122.4347971
3,4,8,37.72281391,-122.4347971
3,5,8,37.72281391,-122.4347971
3,6,8,37.72281391,-122.4347971
3,7,8,37.72281391,-122.4347971
3,8,8,37.72281391,-122.4347971
3,9,8,37.72281391,-122.4347971
3,10,8,37.72281391,-122.4347971
3,11,8,37.72281391,-122.4347971
3,12,8,37.72281391,-122.4347971
3,13,8,37.72281391,-122.4347971
3,14,8,37.72281391,-122.4347971
3,15,8,37.72281391,-122.4347971
3,16,8,37.72281391,-122.4347971
3,17,8,37.72281391,-122.4347971
3,18,8,37.72281391,-122.4347971
3,19,8,37.72281391,-122.4347971
3,20,8,37.72281391,-122.4347971
3,21,8,37.72281391,-122.4347971
3,22,8,37.72281391,-122.4347971
3,23,8,37.72281391,-122.4347971
3,24,8,37.72281391,-122.4347971
4,1,8,37.72281391,-122.4347971
4,2,8,37.72281391,-122.4347971
4,3,8,37.72281391,-122.4347971
4,4,8,37.72281391,-122.4347971
4,5,8,37.72281391,-122.4347971
4,6,8,37.72281391,-122.4347971
4,7,8,37.72281391,-122.4347971
4,8,8,37.72281391,-122.4347971
4,9,1,37.52481993,-122.4052943
4,10,1,37.52481993,-122.4052943
4,11,1,37.52481993,-122.4052943
4,12,8,37.72281391,-122.4347971
4,13,8,37.72281391,-122.4347971
4,14,10,37.93140115,-122.5762212
4,15,8,37.72281391,-122.4347971
4,16,8,37.72281391,-122.4347971
4,17,8,37.72281391,-122.4347971
4,18,8,37.72281391,-122.4347971
4,19,8,37.72281391,-122.4347971
4,20,8,37.72281391,-122.4347971
4,21,8,37.72281391,-122.4347971
4,22,8,37.72281391,-122.4347971
4,23,8,37.72281391,-122.4347971
4,24,8,37.72281391,-122.4347971
5,1,8,37.72281391,-122.4347971
5,2,8,37.72281391,-122.4347971
5,3,8,37.72281391,-122.4347971
5,4,8,37.72281391,-122.4347971
5,5,8,37.72281391,-122.4347971
5,6,8,37.72281391,-122.4347971
5,7,8,37.72281391,-122.4347971
5,8,8,37.72281391,-122.4347971
5,9,8,37.72281391,-122.4347971
5,10,8,37.72281391,-122.4347971
5,11,8,37.72281391,-122.4347971
5,12,8,37.72281391,-122.4347971
5,13,8,37.72281391,-122.4347971
5,14,8,37.72281391,-122.4347971
5,15,8,37.72281391,-122.4347971
5,16,8,37.72281391,-122.4347971
5,17,8,37.72281391,-122.4347971
5,18,8,37.72281391,-122.4347971
5,19,8,37.72281391,-122.4347971
5,20,8,37.72281391,-122.4347971
5,21,8,37.72281391,-122.4347971
5,22,8,37.72281391,-122.4347971
5,23,8,37.72281391,-122.4347971
5,24,8,37.72281391,-122.4347971
6,1,8,37.72281391,-122.4347971
6,2,8,37.72281391,-122.4347971
6,3,8,37.72281391,-122.4347971
6,4,8,37.72281391,-122.4347971
6,5,8,37.72281391,-122.4347971
6,6,8,37.72281391,-122.4347971
6,7,8,37.72281391,-122.4347971
6,8,8,37.72281391,-122.4347971
6,9,8,37.72281391,-122.4347971
6,10,8,37.72281391,-122.4347971
6,11,8,37.72281391,-122.4347971
6,12,8,37.72281391,-122.4347971
6,13,8,37.72281391,-122.4347971
6,14,8,37.72281391,-122.4347971
6,15,8,37.72281391,-122.4347971
6,16,8,37.72281391,-122.4347971
6,17,8,37.72281391,-122.4347971
6,18,8,37.72281391,-122.4347971
6,19,8,37.72281391,-122.4347971
6,20,8,37.72281391,-122.4347971
6,21,8,37.72281391,-122.4347971
6,22,8,37.72281391,-122.4347971
6,23,8,37.72281391,-122.4347971
6,24,8,37.72281391,-122.4347971
7,1,8,37.72281391,-122.4347971
7,2,8,37.72281391,-122.4347971
7,3,8,37.72281391,-122.4347971
7,4,8,37.72281391,-122.4347971
7,5,8,37.72281391,-122.4347971
7,6,8,37.72281391,-122.4347971
7,7,8,37.72281391,-122.4347971
7,8,8,37.72281391,-122.4347971
7,9,1,37.52481993,-122.4052943
7,10,8,37.72281391,-122.4347971
7,11,8,37.72281391,-122.4347971
7,12,8,37.72281391,-122.4347971
7,13,8,37.72281391,-122.4347971
7,14,8,37.72281391,-122.4347971
7,15,8,37.72281391,-122.4347971
7,16,8,37.72281391,-122.4347971
7,17,8,37.72281391,-122.4347971
7,18,8,37.72281391,-122.4347971
7,19,8,37.72281391,-122.4347971
7,20,8,37.72281391,-122.4347971
7,21,8,37.72281391,-122.4347971
7,22,8,37.72281391,-122.4347971
7,23,8,37.72281391,-122.4347971
7,24,8,37.72281391,-122.4347971
8,1,8,37.72281391,-122.4347971
8,2,8,37.72281391,-122.4347971
8,3,8,37.72281391,-122.4347971
8,4,8,37.72281391,-122.4347971
8,5,8,37.72281391,-122.4347971
8,6,8,37.72281391,-122.4347971
8,7,8,37.72281391,-122.4347971
8,8,8,37.72281391,-122.4347971
8,9,8,37.72281391,-122.4347971
8,10,8,37.72281391,-122.4347971
8,11,8,37.72281391,-122.4347971
8,12,8,37.72281391,-122.4347971
8,13,8,37.72281391,-122.4347971
8,14,8,37.72281391,-122.4347971
8,15,8,37.72281391,-122.4347971
8,16,8,37.72281391,-122.4347971
8,17,8,37.72281391,-122.4347971
8,18,8,37.72281391,-122.4347971
8,19,8,37.72281391,-122.4347971
8,20,8,37.72281391,-122.4347971
8,21,8,37.72281391,-122.4347971
8,22,8,37.72281391,-122.4347971
8,23,8,37.72281391,-122.4347971
8,24,8,37.72281391,-122.4347971
9,1,1,37.52481993,-122.4052943
9,2,8,37.72281391,-122.4347971
9,3,8,37.72281391,-122.4347971
9,4,8,37.72281391,-122.4347971
9,5,8,37.72281391,-122.4347971
9,6,7,37.73441852,-122.10225349999999
9,7,8,37.72281391,-122.4347971
9,8,8,37.72281391,-122.4347971
9,9,8,37.72281391,-122.4347971
9,10,8,37.72281391,-122.4347971
9,11,8,37.72281391,-122.4347971
9,12,8,37.72281391,-122.4347971
9,13,8,37.72281391,-122.4347971
9,14,8,37.72281391,-122.4347971
9,15,8,37.72281391,-122.4347971
9,16,8,37.72281391,-122.4347971
9,17,8,37.72281391,-122.4347971
9,18,8,37.72281391,-122.4347971
9,19,8,37.72281391,-122.4347971
9,20,8,37.72281391,-122.4347971
9,21,8,37.72281391,-122.4347971
9,22,8,37.72281391,-122.4347971
9,23,8,37.72281391,-122.4347971
9,24,8,37.72281391,-122.4347971
10,1,8,37.72281391,-122.4347971
10,2,8,37.72281391,-122.4347971
10,3,8,37.72281391,-122.4347971
10,4,8,37.72281391,-122.4347971
10,5,8,37.72281391,-122.4347971
10,6,8,37.72281391,-122.4347971
10,7,8,37.72281391,-122.4347971
10,8,8,37.72281391,-122.4347971
10,9,1,37.52481993,-122.4052943
10,10,8,37.72281391,-122.4347971
10,11,8,37.72281391,-122.4347971
10,12,8,37.72281391,-122.4347971
10,13,8,37.72281391,-122.4347971
10,14,8,37.72281391,-122.4347971
10,15,8,37.72281391,-122.4347971
10,16,8,37.72281391,-122.4347971
10,17,8,37.72281391,-122.4347971
10,18,8,37.72281391,-122.4347971
10,19,8,37.72281391,-122.4347971
10,20,8,37.72281391,-122.4347971
10,21,8,37.72281391,-122.4347971
10,22,8,37.72281391,-122.4347971
10,23,8,37.72281391,-122.4347971
10,24,8,37.72281391,-122.4347971
